SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300503,2024-01-07T00:00:00,MEM @ PHX,W,15.566666666666666,2,11,0.182,1,7,0.143,2,3,0.667,2,5,7,1,4,1,1,0,2,3,7,-5,18.9,0,0,20.0,1,1,1,1,25,19,7,27,12,4,26,5,5,5,5,10,9,14,1,5,3,1,18,4,18,18,19,5,1,16,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300491,2024-01-05T00:00:00,MEM @ LAL,W,9.233333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,-3,2.0,0,0,2.0,1,1,1,1,28,28,29,28,28,29,28,15,17,15,18,28,29,21,8,5,18,1,1,21,28,14,29,5,1,29,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300470,2024-01-03T00:00:00,MEM vs. TOR,L,21.566666666666666,2,6,0.333,2,4,0.5,1,2,0.5,1,7,8,3,1,1,0,0,4,3,7,2,23.1,0,0,22.0,1,14,14,14,18,19,20,19,5,12,5,10,8,9,14,4,7,4,8,5,18,1,25,4,18,10,11,5,1,12,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300460,2024-01-02T00:00:00,MEM vs. SAS,W,28.12,5,6,0.833,1,2,0.5,2,2,1.0,2,9,11,0,0,0,1,0,1,1,13,12,29.2,1,0,27.0,1,1,1,1,6,7,20,1,12,24,5,5,8,1,5,1,3,21,21,15,3,1,9,12,7,5,7,1,1,8,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300449,2023-12-31T00:00:00,MEM vs. SAC,L,14.116666666666667,2,6,0.333,1,5,0.2,0,2,0.0,0,2,2,1,0,0,0,0,0,1,5,-13,8.9,0,0,9.0,1,14,14,14,26,19,20,19,12,8,23,15,8,15,18,20,24,14,21,15,18,1,1,12,27,26,26,5,1,26,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300438,2023-12-29T00:00:00,MEM @ LAC,L,22.466666666666665,5,7,0.714,2,3,0.667,0,0,0.0,1,4,5,1,0,1,0,0,1,1,12,1,22.5,0,0,22.0,1,14,14,14,16,7,17,4,5,19,3,15,17,15,14,14,12,14,21,5,18,1,9,12,9,12,12,5,1,12,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300410,2023-12-26T00:00:00,MEM @ NOP,W,8.913333333333334,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,0,2,0,0,-8,5.4,0,0,4.0,1,1,1,1,29,28,28,28,28,24,28,15,17,15,18,20,24,21,21,15,3,1,18,21,28,21,28,5,1,28,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300393,2023-12-23T00:00:00,MEM @ ATL,W,27.1,2,7,0.286,1,4,0.25,1,2,0.5,0,4,4,3,1,0,1,0,0,2,6,3,17.3,0,0,16.0,1,1,1,1,7,19,17,24,12,12,19,10,8,9,18,14,17,4,8,15,3,1,1,9,24,9,21,5,1,23,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300377,2023-12-21T00:00:00,MEM vs. IND,W,25.05,5,7,0.714,3,5,0.6,0,0,0.0,0,3,3,2,2,1,0,0,0,0,13,24,20.6,0,0,23.0,1,1,1,1,13,7,17,4,2,8,4,15,17,15,18,18,20,11,4,5,18,1,1,21,7,1,15,5,1,11,1
2023-24,1630583,Santi Aldama,Santi,1610612763,MEM,Memphis Grizzlies,0022300360,2023-12-19T00:00:00,MEM @ NOP,W,15.786666666666667,3,4,0.75,2,2,1.0,0,0,0.0,2,1,3,0,0,1,1,0,1,0,8,-5,17.6,0,0,17.0,1,1,1,1,23,14,25,2,5,24,1,15,17,15,5,27,20,21,21,5,3,1,9,21,16,18,20,5,1,20,1
