SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201225,2023-04-09T00:00:00,MIN vs. NOP,W,36.846666666666664,4,7,0.571,0,1,0.0,0,0,0.0,1,8,9,4,2,1,2,1,0,0,8,2,31.8,0,0,27.0,1,1,1,1,6,22,32,22,29,29,29,44,47,44,18,5,10,37,16,22,6,53,1,58,38,30,26,11,4,25,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201214,2023-04-08T00:00:00,MIN @ SAS,W,24.118333333333332,3,7,0.429,1,3,0.333,0,0,0.0,1,1,2,4,1,0,1,0,1,0,7,1,17.4,0,0,16.0,1,1,1,1,50,34,32,47,12,6,23,44,47,44,18,60,57,37,31,47,16,1,15,58,44,32,56,11,4,55,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201180,2023-04-04T00:00:00,MIN @ BKN,W,32.13333333333333,4,9,0.444,0,1,0.0,0,0,0.0,1,0,1,10,0,1,0,0,3,0,8,11,27.2,0,0,21.0,1,1,1,1,25,22,17,45,29,29,29,44,47,44,18,65,62,6,52,22,43,1,39,58,38,15,36,11,4,42,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201166,2023-04-02T00:00:00,MIN vs. POR,L,33.406666666666666,6,9,0.667,1,2,0.5,0,0,0.0,0,8,8,7,1,0,1,0,3,0,13,0,35.1,0,0,31.0,1,37,37,37,22,8,17,12,12,16,16,44,47,44,44,5,13,13,31,47,16,1,39,58,14,36,17,11,4,17,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201157,2023-03-31T00:00:00,MIN vs. LAL,L,31.483333333333334,8,11,0.727,1,2,0.5,0,0,0.0,2,2,4,6,1,2,3,1,0,0,17,-15,44.8,0,0,38.0,1,37,37,37,30,2,11,10,12,16,16,44,47,44,6,51,40,17,31,8,2,53,1,58,6,66,9,11,4,11,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201144,2023-03-29T00:00:00,MIN @ PHX,L,29.983333333333334,3,9,0.333,0,1,0.0,0,0,0.0,2,8,10,2,5,0,2,1,4,0,6,-6,22.0,0,0,22.0,1,37,37,37,37,34,17,57,29,29,29,44,47,44,6,5,4,52,1,47,6,53,57,58,49,50,46,11,4,39,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201128,2023-03-27T00:00:00,MIN @ SAC,W,36.016666666666666,5,10,0.5,2,3,0.667,3,4,0.75,3,1,4,11,1,2,0,0,4,3,15,0,41.3,1,0,36.0,1,1,1,1,10,15,13,26,4,6,11,9,7,29,2,60,40,4,31,8,43,1,57,10,8,36,12,1,4,12,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201121,2023-03-26T00:00:00,MIN @ GSW,W,31.616666666666667,5,10,0.5,1,3,0.333,1,2,0.5,2,8,10,7,2,5,1,0,0,1,12,-10,50.5,1,0,42.0,1,1,1,1,29,15,13,26,12,6,23,32,23,33,6,5,4,13,16,1,16,1,1,39,18,59,3,1,4,5,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201090,2023-03-22T00:00:00,MIN vs. ATL,W,35.85,4,8,0.5,1,3,0.333,0,0,0.0,1,2,3,7,2,0,0,2,0,1,9,-4,21.1,0,0,20.0,1,1,1,1,11,22,24,26,12,6,23,44,47,44,18,51,48,13,16,47,43,68,1,39,32,43,51,11,4,45,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201073,2023-03-20T00:00:00,MIN @ NYK,W,34.083333333333336,4,8,0.5,1,2,0.5,1,3,0.333,2,7,9,5,3,1,0,0,3,3,10,11,28.3,0,0,27.0,1,1,1,1,19,22,24,26,12,16,16,32,13,40,6,13,10,26,7,22,43,1,39,10,28,15,29,11,4,25,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201058,2023-03-18T00:00:00,MIN @ TOR,L,31.816666666666666,6,14,0.429,0,2,0.0,0,0,0.0,2,5,7,5,0,0,0,0,4,0,12,-5,27.9,0,0,24.0,1,37,37,37,27,8,2,47,29,16,29,44,47,44,6,26,16,26,52,47,43,1,57,58,18,45,32,11,4,33,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201050,2023-03-17T00:00:00,MIN @ CHI,L,51.095,4,14,0.286,0,1,0.0,3,6,0.5,2,8,10,12,3,1,2,1,4,4,11,-3,47.0,1,1,39.0,1,37,37,37,1,22,2,61,29,29,29,9,2,33,6,5,4,1,7,22,6,53,57,5,26,41,7,1,1,9,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201039,2023-03-15T00:00:00,MIN vs. BOS,L,36.33833333333333,7,14,0.5,0,1,0.0,1,1,1.0,4,3,7,8,2,0,2,1,4,2,15,-8,39.4,0,0,34.0,1,37,37,37,8,4,2,26,29,29,29,32,44,1,1,39,16,9,16,47,6,53,57,22,8,54,15,11,4,15,1
2022-23,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0022201021,2023-03-13T00:00:00,MIN @ ATL,W,36.52,5,6,0.833,1,2,0.5,3,3,1.0,0,10,10,12,2,2,2,0,1,2,14,33,54.0,1,1,45.0,1,1,1,1,7,15,39,7,12,16,16,9,13,1,44,1,4,1,16,8,6,1,15,22,12,1,1,1,1,1,1
